Sector,N_firms,beta_desg,SE,t,p,Stars,R2
Materials,24,0.11528,0.04087,2.82,0.0048,***,0.3367
Consumer Discretionary,46,0.07189,0.02717,2.65,0.0082,***,0.3279
Industrials,74,0.0577,0.02129,2.71,0.0067,***,0.3916
Financials,74,0.04668,0.01602,2.91,0.0036,***,0.3849
Energy,21,0.03256,0.03702,0.88,0.3793,,0.2854
Communication Services,21,0.02294,0.03798,0.6,0.5459,,0.2748
Information Technology,67,0.01084,0.02544,0.43,0.6701,,0.3381
Real Estate,31,0.00777,0.02374,0.33,0.7434,,0.3361
Health Care,56,-0.00227,0.02737,-0.08,0.934,,0.246
Utilities,30,-0.01398,0.01811,-0.77,0.4402,,0.156
Consumer Staples,35,-0.04533,0.02385,-1.9,0.0574,*,0.1685
